sentence,nutrient,pmid,label
"or-15 exhibits stable and effective properties as a factor for cd and cr adsorb on rice iron plaque, thus mitigating the levels of cd and cr in rice grains.",iron,39492105,0
"the essential elements magnesium (mg), zinc (zn), selenium (se), and transition metal iron (fe), copper (cu), and antioxidants superoxide dismutase (sod) and catalase (cat) are required for brain functions.",iron,34684707,0
"serum proteomic analyses revealed that the ""iron homeostasis signaling pathway"" was the main pathway downregulated in crohn's disease (cd) patients carrying the ptpn2 risk allele, independent of disease activity.",iron,40244226,0
balb/c mice with solid myeloma sp2/0 were subjected to the 10-day treatment with daily intraperitoneal injections of 10 mg iron-saturated rechlf with oa (1:8) per animal (0.4 g/kg).,iron,40286340,0
"these results show that hemoglobin can serve as a source of catalytically active (""free"") iron in the reaction with ocl- and with h2o2.",iron,1338491,0
iron microparticles were coated with polypyrrole in situ during the chemical oxidation of pyrrole with ammonium peroxydisulfate in aqueous medium.,iron,39410354,0
the lower alp activity from osteoblast with iron exposure was found.,iron,30014351,0
response of sediment with ca/al composites capping to cyanobacterial bloom decline: blocking the formation and the release of sediment iron-bound phosphorus (fe-p).,iron,39427896,0
"the major micronutrient deficiencies which are of public health importance include vitamin a, iron and iodine deficiencies.",iron,25161455,0
"imidazole-bound synthetic iron porphyrins show that the ground state gradually changes from low spin, in iron tetraphenyl porphyrin, to high spin as electron-withdrawing groups are attached to the porphyrin ligand.",iron,40135442,0
"additionally, the discrimination indices reveal that they do not have hemoglobinopathies but rather iron deficiencies.",iron,39565340,0
"environmental dna (edna), i.e., dna found in the environment, can interact with various geochemical surfaces, yet little is known about these interactions.",iron,39699067,0
"pfce worked as an oxygen carrier, while iron oxide nanoparticles (ionps) acted as nanozymes with catalase-like activity to facilitate oxygen generation.",iron,39983924,0
we longitudinally assessed the iron regulatory hormone hepcidin during gestation and postpartum and related hepcidin to conventional indicators of iron status and inflammation.,iron,23241678,0
"conclusion: the r(2) relaxation rate is well described by a constant plus a term linear in b(0), with both iron and lipid content contributing to the slope.",iron,39686865,0
"this study used a lobar porcine ich model to examine differences in the effects of ich on white and gray matter as well as the role of the iron chelator deferoxamine (dfx), on attenuation of such injury.",iron,39489370,0
"donor iron management policies in the countries concerned are described for the year 2021, and data on donor and donation numbers, low hemoglobin (hb) deferral rates and hb levels are presented.",iron,39369584,0
"after treatment with oral iron, patients of group 1 show a significant increase in serum ferritin, serum iron, hematocrit, erythrocytes, and hemoglobin, a significant decrease in transferrin, and diminished iron absorption.",iron,6880414,0
our results showed that both iron species suppressed cell survival and proliferation.,iron,30014351,0
plasma protein oxidation is correlated positively with plasma iron levels and negatively with hemolysate zinc levels in sickle-cell anemia patients.,iron,21883969,0
"these findings underscore public health risks and environmental concerns, urging sewage and runoff management and recommending expanded seasonal studies to establish comprehensive water quality guidelines.",iron,40290265,0
"after intervention, no significant changes were observed in hemoglobin, transferrin saturation, serum iron, ferritin, or transferrin receptor (tfr) concentrations.",iron,21486162,0
"impact of a virtual antenatal intervention for improved diet and iron intake in kapilvastu district, nepal - the valid randomized controlled trial.",iron,39574522,0
"several therapeutic options are currently available in japan, namely, lenalidomide, erythropoiesis stimulating agents, luspatercept, immunosuppressive agents, anabolic steroids, vitamin k/d, hypomethylating agents, allogeneic hematopoietic stem cell transplantation, and iron chelating agents.",iron,39505558,0
iron deposition and functional connectivity differences in females with migraine without aura: a comparative study of headache sides.,iron,39435668,0
"seven important iron uptake proteins were identified, modeled, and validated using ramachandran plots.",iron,39355758,0
"collectively, these findings demonstrate that hif-1alpha drives ferroptosis by regulating iron metabolism, while lactate inhibits ferroptosis in a hif-1alpha-independent manner.",iron,39522491,0
results: the results indicated that -fe + fe(2)o(3) (fe(2)o(3)) treatment induced a decrease in plant growth and iron nutritional status compared with those in the 1/2 ms (one-half-strength murashige and skoog medium).,iron,40075263,0
introduction: ferroptosis is an iron-dependent form of cell death triggered by the excessive accumulation of lipid peroxides.,iron,39832721,0
the results allow us to quantify the composition-induced evolution of oxygen ligand-field interactions of high-spin fe 3d states with varying valence and coordination environments in complex glasses.,iron,40036048,0
"pacificum cell density under iron-deficient conditions, ty1-4 can use the sterile exudates from a.",iron,39567080,0
"the addition of milk, however, inhibits iron absorption and overcomes the enhancing effect of phytic acid degradation.",iron,15743020,0
"in conclusion, the study revealed that plastic is the more advantageous crating material compared to iron.",iron,39691616,0
conclusions: regional differences in daily habits and/or environmental factors affect 25ohd level in japanese infants.,iron,28833908,0
"as a consequence, the use of screening tests for anemia has become a less efficient means of detecting iron deficiency in some populations.",iron,9563847,0
"mk21 emerged as an ideal environment for starch, while ms20 proved representative for protein content.",iron,40193376,0
"the determinants of nutritional status and, for that matter, the health of the individual and the population as a whole, include a variety of factors, biologic (genetic), behavioral, sociocultural, economic, and environmental.",iron,7301853,0
"haemoglobin (hb), serum iron, total iron binding capacity and transferrin saturation (ts) were determined by standard techniques and serum ferritin (ferr) by radioimmunoassay.",iron,2023285,0
"we conclude that subacute or subchronic exposure to formaldehyde have caused growth retardation and altered levels of trace elements, including copper, zinc and iron, in testicular tissue, and may induce further oxidative damage on testicular tissue leading to spermatozoal abnormalities.",iron,12195726,0
ferroptosis is a form of cell death due to iron-induced lipid peroxidation.,iron,40233740,0
"our study provides evidence and reveals the molecular mechanism underneath the er-mitochondria iron crosstalk under pfos exposure, providing new insights into and enriches the understanding of the iron network-regulating function of the ferroptosis executor acsl4 and highlighting its role in pfos toxicity.",iron,39579909,0
associations of anaemia and iron status with birth outcomes were determined using regression models adjusted for confounders.,iron,31479449,0
"a trianalyte micropad for simultaneous determination of iron, zinc, and manganese ions.",iron,39459174,0
"there are strong relationships between iron requirements, bioavailability of dietary iron, and amounts of stored iron.",iron,12678072,0
the intravenous group demonstrated a more significant early effect than the oral group in terms of iron metabolism parameter improvement.,iron,39765352,0
conclusion: iron-sulfur cluster scaffold may promote ipc-induced ischemic tolerance mediated by alpha-2-macroglobulin antisense rna 1-mir-7161-5p axis.,iron,39551662,0
"in a nutshell, iron chelating agents are potential alternative therapeutics that can be used alongside different antibiotics to circumvent the resistance of different nosocomial pathogens.",iron,40202344,0
"a novel serial catalytic strategy for selective defluoroalkylation of trifluoromethyl alkenes has been developed, utilizing photocatalytic defluorocarboxylation followed by photoinduced iron-catalyzed decarboxylation/isomerization.",iron,40152816,0
these findings are consistent with the proposal that duodenal ascorbate plays a role in intestinal iron absorption.,iron,14988437,0
the multifaceted role of ysl proteins: iron transport and emerging functions in plant metal homeostasis.,iron,40088806,0
elemental iron was measured using inductively coupled plasma mass spectrometry (icp-ms) and ferrous iron was measured using the colorimetric ferrozine assay.,iron,40123902,0
"if the transition metal center is complexed with good electron-donor ligands or its positive charge is compensated by the negative charge of the ligands, the interaction with the electron-rich iron center recedes into the background.",iron,39691088,0
"iron is an essential nutrient for immune cells, but it can also pose biochemical risks such as the production of reactive oxygen species.",iron,39877355,0
"additionally, comparisons between apo-mofe, apo-vfe and the model complex (nbu(4))(2)[fe(4)s(4)(sph)(4)] via exafs measurements showed that apo-vfe does not contain a fully formed [fe(8)s(7)] p-cluster, but rather is comprised of fragmented iron-sulfur clusters.",iron,39544119,0
"the iron-sulfur cluster [fe-s] biogenesis isc pathway, localized within the mitochondrion or mitosome of these parasites, is vital for parasite survival and development.",iron,39348385,0
"trikatrayadi lauha provided significant results on hb gm%, rbc, pcv, mcv, serum iron, percent transferrin saturation and tibc where as insignificant changes were found in mch and mchc.",iron,23049186,0
"no lv relaxation time was associated (p > 0.05) with hepatic iron concentration, biventricular function parameters, or lge presence.",iron,39359148,0
"results: the hfe gene variants, h63d and c282y, in any combination as well as in any combination with the hfe wt genotype, had a significant influence on iron status markers, compared with the wt/wt genotype.",iron,40322196,0
"ferroptosis, a recently identified form of regulated cell death driven by iron-dependent lipid peroxidation, has emerged as a significant contributor to post-mi cardiac injury.",iron,39881220,0
introduction: iron-deficiency anaemia is common in gynaecological oncology patients.,iron,37945297,0
